,precision,recall,f1-score,support
BSC,0.9473684210526315,0.9473684210526315,0.9473684210526315,38.0
FKL,0.9487179487179487,0.9736842105263158,0.961038961038961,38.0
FOL,0.972972972972973,0.9230769230769231,0.9473684210526315,39.0
SDL,0.925,0.9487179487179487,0.9367088607594937,39.0
accuracy,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948
macro avg,0.9485148356858883,0.9482118758434548,0.9481211659759294,154.0
weighted avg,0.9485209610209611,0.948051948051948,0.9480421721438532,154.0
