Fall Type,Precision,Recall,F1-Score,Support
BSC (Back Fall),0.9473684210526315,0.9473684210526315,0.9473684210526315,38
FKL (Knees Fall),0.9487179487179487,0.9736842105263158,0.961038961038961,38
FOL (Forward Fall),0.972972972972973,0.9230769230769231,0.9473684210526315,39
SDL (Side Fall),0.925,0.9487179487179487,0.9367088607594937,39
