Model,Accuracy (%),Weighted F1 (%),Training Time (s)
XGBoost,94.8051948051948,94.80421721438532,6.965952157974243
Voting Ensemble,94.8051948051948,94.80396659617438,12.591826677322388
LightGBM,94.15584415584416,94.17151931882371,4.979003667831421
Random Forest,92.85714285714286,92.90088858509911,1.5159335136413574
Gradient Boosting,92.20779220779221,92.21360141080326,60.65264654159546
